"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-9.90708440976078,-6.58260190156521,-9.47242389213387,-9.91041860180115,-3.46906184082106,-13.5985790568544,-8.9822563341544,68.4208700589195,20.6087774481915,20.0989415970922
-14.673239483688,-10.5267316516819,-5.89450427963212,-11.4074302955321,-16.8945216066958,-8.20256464161351,-11.7424295796566,19.3691568518872,72.5870124895591,16.2286245458527
-15.5333048924217,-5.85146189024067,-8.80749128803751,-15.2810353064048,-6.55050335328002,-7.66272164758807,-5.87354632544005,59.2237952041905,64.3851291721745,40.112405586621
-4.74622659273958,-11.0852507179379,-14.4424727852652,-13.8984885627218,-6.34055415887805,-3.18682247177558,-3.82316784931487,53.1500715739327,43.5087193068699,45.7817785357533
-3.78568302300759,-16.3045311123235,-14.2361233985065,-8.79018474978022,-6.5213823835589,-10.0801606764859,-6.97125019542081,44.7419529032602,48.2074293508718,8.3400424443651
-16.547918416555,-11.1702308917716,-11.3884962496054,-7.65397514605988,-8.49623889177479,-16.1239835566622,-6.1646121717873,5.34350430085324,63.0411056429031,23.0649743008311
-3.39260634080321,-9.02950219060527,-16.8644575746399,-3.09360380950384,-7.42446328825178,-10.214214838523,-11.9924246394169,21.6207339803106,53.8146109412075,44.0894374674652
-5.41275018253317,-15.6891253118692,-13.6158478628262,-10.766271568615,-16.7903660206809,-4.36294403140573,-4.37595321355667,64.0443019101222,17.564959766058,69.9695304653258
-7.67952721777838,-12.7361962202014,-6.15317052803328,-12.0104986329493,-6.45383518050378,-14.5049741574717,-10.6766019885624,15.9272506767302,48.403882623883,8.88992526435759
-4.56905171796074,-3.44181715129875,-3.44643964883406,-10.7264050569893,-11.6274256043984,-4.1390509137609,-14.0309694825229,36.1686589029094,56.4469934934285,23.8719594586815
-5.38926751871267,-15.4002764399122,-6.62687023511669,-15.1161733441413,-11.5207168717613,-16.810707619065,-6.51454666120093,23.2222880710848,48.7850580075465,70.9685625587997
-15.2525283853589,-5.27765957325511,-5.68259723106818,-14.352521343824,-15.5579483776009,-13.8815394188273,-11.3538787888899,29.9059048569063,65.9421842993761,37.6548483925872
-3.1815092415018,-6.52757693621889,-9.88416805667709,-11.4318191853631,-12.7396457133843,-9.86363121880731,-15.5787842600197,31.1411947877146,62.0748115114868,24.7277549987251
-12.4274175234176,-3.42987903431384,-12.0451636369186,-14.5956046903492,-12.9879890899705,-8.29102589349309,-16.8633661298463,17.8430723373138,27.6995715213998,11.2787241873855
-8.69536649966333,-10.4240851719966,-4.57679080754006,-14.5838868615245,-13.1091121057533,-9.45661823563743,-8.82258061941154,64.1902634425904,69.9296391345968,16.6900365531386
-12.8007762471498,-16.5833427502811,-16.9053348976099,-4.91274836550467,-8.32544379852107,-4.38216622477863,-7.5495392860109,46.5543574421725,10.8955731335795,38.5107801909791
-15.0239896360636,-7.60756375419255,-14.7931309571587,-12.3983507187008,-15.7537933957265,-14.0295441546468,-9.86558409351762,74.2065282672469,50.3787752273376,0.11934741132427
-5.64598977993848,-13.0808918751483,-3.99801828591851,-5.98617261855304,-7.08475836885115,-10.8110049732756,-15.0057262217538,4.72709330437356,37.2326679766935,67.4337939418852
-12.9710307742916,-3.0638800300248,-16.663303351664,-8.83160012791119,-13.6661491426779,-10.3894079578612,-9.76743694899743,53.3047065512685,40.8473060137709,71.9909728484403
-8.44705511747673,-7.97739771013567,-15.8019674198069,-9.86292834548932,-11.0616050357777,-14.6570487165162,-3.61274835556745,47.6930823622097,73.8569320573064,48.4662974349281
-11.9818794699977,-15.7276478968444,-8.64766498597711,-13.5695556723126,-10.2045350175868,-5.17103455715161,-11.5669787894222,47.9433907791332,22.604882299091,14.8144573091995
-5.37476865692344,-6.84858395970007,-14.3172855142937,-4.00064388442552,-4.36552165535791,-12.6925400487236,-9.51125292946491,62.2302438336192,20.0621961659286,47.4176506963209
-8.72100442238571,-11.4560485006394,-6.01689419279434,-13.4390764435106,-9.54476668135868,-4.44565281799249,-6.32970003337879,33.1270148927753,33.9839622975444,72.8508161321806
