logK_S_M,logK_I_M,logKd,logK_S_D,logK_S_DS,logK_I_D,logK_I_DI,logK_S_DI,kcat_DS,kcat_DSI,kcat_DSS,kcat_MS,Hill Slope,logK_I_D_difference,logK_I_D_abs_difference
-8.73285393297626,-3.13715291979676,-8.10794962912425,-15.1079212443465,-15.2790208015367,-8.21763798654452,-3.96333038462326,-4.54612443040265,54.9926351389498,54.3006097561622,15.4873672660149,42.1257446176198,1.6219375108361924,-4.25430760192126,4.25430760192126
-8.74388282219088,-4.02034725347627,-10.6663561670855,-15.1455507091582,-12.142588438422,-10.7927151769106,-10.6308155230847,-9.80237313554017,49.7530163856398,47.0789149153512,34.4535091047466,8.5027427716821,1.9346053591022507,-0.1618996538259001,0.1618996538259001
-11.3291442786716,-6.10531831224822,-11.6090200598915,-8.39660521059949,-15.4687770569059,-7.84392396003939,-16.6343308473527,-4.40624676394695,55.9504497817601,48.9903548246773,70.4764167864458,56.9963429103373,1.6288779011000811,8.79040688731331,8.79040688731331
-5.28608969867276,-14.0686944822432,-9.40667360377498,-4.20824033245305,-11.8593639186304,-8.45260954048857,-4.91346200864669,-11.2803303716155,25.3221147875127,73.7342656424968,10.9175018602225,32.5045216363622,1.5404034112970952,-3.5391475318418806,3.5391475318418806
-7.33688434254052,-15.2829786474044,-15.7421562859523,-6.3993572803014,-7.89576880695671,-10.7421362709519,-7.2169445330156,-8.17959322067676,7.5282254872669,68.4491197065159,28.9211236713803,74.3129349180905,1.6402071504556532,-3.525191737936299,3.525191737936299
-7.69686397874542,-5.65561039124243,-11.1095092400019,-13.6879838900571,-14.9003998300452,-13.4291849415167,-9.50122424263321,-4.14431903676037,7.80258692055359,2.29287358032307,62.6998036152217,26.7226516207389,1.9324375497218178,-3.9279606988834903,3.9279606988834903
-4.14800932275085,-4.75219485132396,-8.65346051001083,-10.4179896172849,-16.1688684213213,-6.37216467006737,-16.8807219976014,-16.7785595238679,30.5039931242529,53.8428118580254,22.0397116035456,23.4005996045773,1.78629790671161,10.508557327534028,10.508557327534028
-3.23927552617155,-5.80140472697187,-14.5529543609731,-7.79013915598253,-5.03407589348219,-4.57928567143809,-10.4124961287086,-8.60265781461354,49.8966834543098,36.4202071994659,73.7380419209716,72.0260659160558,1.881836722015099,5.833210457270511,5.833210457270511
-3.06758651774377,-8.13055542972125,-11.0206561138374,-12.8142697365335,-7.0793343053041,-4.78003588551143,-15.1871316766352,-14.0129081312986,32.6581802659901,49.7439493889571,29.0633935751743,59.1434186821338,1.7195612566126903,10.40709579112377,10.40709579112377
-5.74099970042007,-15.8356610100586,-12.8451416879115,-3.13612378347339,-10.8794313890361,-5.16386146777403,-12.3834522027592,-10.6362286567469,48.3295732672792,74.6891427167924,8.37043006505119,34.83450896453,1.8917123390100037,7.21959073498517,7.21959073498517
-11.1274945597863,-16.8678004095345,-11.9394124412239,-12.6630331132058,-7.23961569814477,-10.8223388656736,-12.0720806785333,-13.90810986759,59.8090425456699,12.3564188253251,31.4770697622851,67.1405487597047,1.7035761969808643,1.2497418128596998,1.2497418128596998
