"V1","V2","V3","V4","V5","V6","V7","V8","V9"
-8.50682553879963,-16.5164844274716,-5.38712224115012,-5.52598697510362,-14.2693314945935,-7.80915118993167,-6.51730981971929,70.0079636261507,68.8558199196705
-11.527545736942,-4.12895667233784,-8.74035130260512,-7.09459369767783,-6.93139837448997,-5.20509310724447,-10.455650832904,36.255318301369,39.7922492151847
-6.48827500752127,-12.881332110235,-7.40759645997081,-11.3163072407525,-14.6831679506213,-5.42408307176409,-16.1678960057958,46.3680642865948,47.6843830816797
-12.3254058627277,-12.4325790904746,-16.0763067056844,-9.84034078779398,-4.69578604976274,-8.12522091770451,-8.98527127226535,37.1047974809306,16.4302034610941
-15.3743695300841,-16.2833812846593,-7.14513960206043,-9.82447149553569,-10.8558490762543,-15.8250763014765,-16.497163259571,10.6822938853176,64.9901484162896
-9.53219276594138,-13.968904382851,-3.13560319578415,-5.80790659728553,-3.14849546532333,-5.28553013055027,-15.3382735905098,40.2844876256422,74.4072105922562
-10.4225469081649,-4.25977421060623,-4.17268737630546,-10.753910677705,-10.4732224199669,-3.03712686587404,-16.1529269896559,24.635304073611,31.8469336506038
-14.5412575891269,-3.20146334552858,-7.79055774844252,-5.18927589041181,-5.29606505823787,-16.3090350500196,-12.8504020608137,0.132698604371399,43.0757783162117
-10.7881759235593,-10.1158483530777,-5.95664776639314,-11.888062464905,-15.5661255671019,-8.42951441662107,-4.15378256931296,9.10268674443942,56.3980506200634
-10.0907389895748,-15.591534918712,-15.9483589712395,-4.51764729237184,-10.3119816329028,-3.65590791393071,-9.46764782963926,9.84958950575092,64.0286734238849
-3.0649804031509,-9.37351542136678,-12.2613345163469,-5.87077984982869,-16.3673972421926,-6.57722298102127,-7.14694208892295,20.8891465915251,28.4166406049626
-9.82671125491848,-7.98765451199561,-14.7970372994635,-5.01338533490151,-16.7289214154701,-9.59273851613747,-8.54984957961552,9.99469781419029,52.8258516096161
-16.4621164141353,-14.482161676642,-12.4538651686725,-14.2703021811824,-10.7068321368378,-16.7825833842768,-8.70245589307556,51.2575117200671,57.1126564984268
-6.98323967127362,-7.94971613691142,-14.1245237333477,-4.31552346488321,-7.27285307236947,-5.37142653588112,-9.25151055663079,50.1611269613437,31.6758641558234
-5.48717259261152,-5.48576058586128,-10.0589100058777,-9.48337296313234,-10.0629104480492,-9.19239282361884,-9.16243582766829,10.3091356462624,38.4498857942701
-12.4840550718992,-5.61439405035507,-14.3860326948119,-14.0935349709736,-10.0741711797593,-3.51119367161393,-15.8911321646273,49.3792832581617,27.3975041936617
-13.4244881708212,-6.83522845671,-15.5798558206395,-7.84234611118166,-5.85842431287235,-16.7746756355176,-14.2202097169822,6.69194377931999,36.3401417492016
-11.2582583363806,-8.1272408167501,-9.59048817771999,-11.6843430125075,-10.5864571077428,-12.9773301353678,-6.53232014301233,54.4429587450286,57.8259531512973
-3.08726063199248,-12.1629098933712,-9.79114601737866,-10.808775342538,-7.08142751990585,-14.9452857634421,-15.5141508742482,48.9715455394413,11.7602762901108
-4.74565761604998,-10.1896670210855,-10.8049038514532,-11.9910277311835,-7.02919324149238,-6.30500184328342,-4.1789095393368,36.8045282016392,19.7995330344304
-9.98403615503758,-10.3440567946439,-10.6453284604051,-10.1391825942677,-10.6106482881107,-7.21587796324305,-13.8575776444701,26.8484383302333,54.8012524740247
-6.3342576710931,-3.24377510035224,-7.71994158792216,-7.53176641310146,-7.28715616019489,-6.90246341883298,-13.7458633580133,9.40934165547369,50.6231176042696
-4.39370220752247,-6.6004679820668,-10.539258728662,-10.7664520022953,-15.1865954507878,-7.43561362061696,-7.35507638193062,12.4303423667676,40.1481256831961
-6.199789662241,-14.7796164255659,-13.7089326219894,-11.7845800919081,-15.8649808477541,-15.801536908533,-12.6821368507575,7.0439195730316,53.2000999151263
-7.51446971607162,-9.68422952417657,-16.0707761562997,-6.87830276687583,-8.85029717497761,-10.9733188010203,-15.206071133859,67.6414023952733,61.0140923012921
-7.69312853826163,-13.2657640510919,-10.4975338560319,-8.18116559984442,-6.04397787802015,-13.6550742977532,-10.9045507131959,70.3519435319526,42.7885820970812
-11.3545410746015,-11.4511681333315,-9.18091987339361,-12.7353415598823,-7.42325824628025,-6.25583675698284,-9.92517239814857,29.1326625745918,68.6631324679591
-15.4185422424381,-9.13688387273578,-4.33138470350439,-6.73352166511538,-5.59386979942536,-5.59215763967298,-13.4926978856889,40.654479679931,18.8360450761858
-15.3005560726942,-9.92681369235692,-14.573250755324,-10.0401132147764,-10.4888578233314,-5.73824408230046,-6.63422182399547,63.0209434857883,72.6456518338295
-4.49206127819838,-3.63709759756271,-10.3115489199744,-11.0439650115031,-8.62561447617505,-13.3884359222353,-4.38904639185546,70.0834746799374,59.0438563656528
-10.8559266191418,-12.0538735299413,-12.0788279490652,-13.6903333346001,-10.1164934813865,-11.3708940572892,-11.1427263622852,33.6217958714347,40.3108572422527
-3.74605990517791,-11.9064277465851,-7.60379809832992,-4.13224724565586,-11.6055349177662,-7.72590490606287,-5.11552905258304,62.0415204054094,70.1665348732145
-13.2762131607174,-11.4185424109376,-12.9821275306153,-10.1700460100821,-12.9755220672251,-14.5712247532913,-14.2436565163075,46.1592359771021,10.0130795509263
-16.1574538697684,-10.7486950541274,-13.6614048228352,-11.8190192216225,-3.86857002938678,-3.88101653578924,-7.61200524710398,7.62566157578258,2.99890316386591
-13.6365669288086,-14.4065023502544,-3.77658472348563,-5.27691207157727,-3.16842942359438,-12.7463923140266,-11.3202268425631,11.4103142318723,72.8215789229376
-6.3057463325425,-11.4816441724417,-15.2322735454137,-8.08511691395519,-11.6162123301974,-16.1028546034731,-3.47329361422174,26.4213673959312,34.1339341600891
-12.5698190689972,-9.4319479191741,-11.8790484745302,-14.5046224925653,-13.3875066824551,-9.70573839704599,-12.3797015347066,48.7552236565738,42.6457078192325
-10.4198238202366,-10.9371056559794,-14.9052689339528,-14.5187580195689,-8.60410809505731,-12.3409533743681,-4.78325095313508,5.62268420432811,51.2057009890093
-12.6629295508838,-15.2882228969364,-3.94891355212173,-15.0093154153964,-8.87130222119624,-13.6167531501516,-16.5364653818645,30.3730458081875,73.5404002953612
-7.98769715167862,-9.42423505823221,-14.2609998714486,-13.4816223330302,-14.2360639385153,-16.9114673523488,-13.6212507669185,2.25555983768427,64.1283194648044
-3.13942906721029,-6.6726831081789,-9.1310868817484,-6.56992501705559,-5.58594360948773,-16.7322034756606,-3.11756449253717,71.6647047175036,0.394046465680003
-7.78907143129408,-14.4721389234206,-3.20857192041352,-15.8613265303159,-15.1570684331129,-3.82639175338857,-4.37840730966907,53.1465850342764,12.9525853365543
-8.17341249943106,-15.1210200516791,-15.4024272468584,-9.32718453864939,-13.2605564701436,-5.50012351341499,-4.04244298763527,20.5611514822114,34.108279447211
-6.4205992715084,-11.9338389580497,-9.38049772741599,-15.9888077346352,-3.4654222273184,-12.522643521701,-8.51371956043085,58.3994958174764,67.5749640361173
-8.36058603705838,-4.45757731698081,-3.88748502865899,-4.46815930755064,-12.3514918449107,-16.3885972925192,-3.9774460880463,28.4778105339676,15.4580276083492
