"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
-16.3776034309552,-11.8628175939564,-15.5264781629238,-3.89107436524285,-10.0599850364672,-14.3904029727667,-3.26679150281008,-13.3092435862757,2.44106901650084,28.6065756317403,48.6426920243364
-3.02326709000627,-8.95061795572517,-7.56373051322578,-7.03724641096592,-4.69141776962159,-14.8319280663813,-10.9237725787838,-5.19400922244275,0.457729715877213,16.6013211952115,12.4784620514314
-12.1512423721026,-15.3893780841515,-10.4803421507073,-6.07670389288478,-15.2166585288807,-10.1056958499681,-12.6324889261043,-14.921749896788,25.610146868258,17.2123607167974,63.1877809748577
-8.80833427789714,-16.156213261737,-11.6494967133119,-13.9148541963231,-10.0272390266145,-4.09234931208333,-8.42910023129685,-13.0650481613781,44.3450599161966,32.2167586185154,0.602284087298904
-11.8202765271752,-8.17175515917083,-9.12914790138602,-16.4173151613823,-10.7380498552374,-5.26146568150073,-8.37924322814215,-11.5610015018382,29.1790942959313,5.1041215791658,10.3932141746976
-13.6351016234634,-10.6890725215729,-9.83507894977648,-12.7738964459426,-6.79640173235629,-4.50379809685238,-10.8877276607775,-7.11441853609634,67.7423674045655,32.9050152033626,34.2642479661678
-11.6606506012413,-15.1733816107563,-5.80863912707986,-4.92922648491664,-4.75924662781227,-3.25257830429729,-16.4025808383324,-11.1688104335726,35.5355345062504,4.9880960112554,62.6325790311559
-14.5198680186565,-12.4704120693989,-6.66288854384888,-8.83997569668014,-5.72508363905689,-7.63258282301202,-9.83204533500178,-13.1564156994489,11.6790905256523,10.8250050881237,46.9246658421995
-11.9688334346148,-11.1015772203286,-8.48795515879616,-6.462055250281,-9.06071542285569,-12.845953799061,-13.3636567631084,-16.1742206527758,51.1235560297093,67.286772591155,25.1759058076248
-14.7068777747443,-9.71798076043604,-16.3019404134094,-7.10583602083195,-12.964892870897,-16.9929135996932,-8.83779844021425,-5.45641141579766,37.1652804134879,70.8745090571058,71.8249920121918
-5.79141208708007,-16.4341867909599,-16.7450233685081,-10.4516070492058,-3.43507998070773,-5.5850783812101,-11.9986059424705,-9.06063267685054,39.0554846654122,69.5024149765901,26.6592662509647
-10.0737852514908,-10.9177333172881,-12.0015925028315,-12.5348267568126,-8.00561122252792,-15.1881457228288,-5.97292393688811,-6.05155119190039,20.3983170571737,14.1187321221863,10.046137690352
-7.21156337836431,-4.05851812777994,-4.29153613111656,-16.36427637685,-7.50356106222374,-6.06792721515521,-5.46985605679825,-6.00152889467636,48.8885673498502,69.622577779839,45.7398099120939
-7.8845729194996,-12.948927665587,-16.1474519125237,-16.4415494478112,-16.212970406183,-14.7861239649742,-4.31391607520403,-11.4460860949769,27.4906471905007,6.17429207926034,73.2104858588835
-5.02475125076203,-16.9213896331484,-7.45202281908831,-11.8197346249283,-12.1971218500151,-11.6598804054167,-14.7641481250683,-14.4683619326837,24.9425597559661,56.3187356297916,51.380662538053
