"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
-9.36677471213555,-9.60781209593453,-9.46567109598313,-9.71596294661425,-11.1821449333322,-11.5570362171875,-8.86542026773421,-10.4709738240265,37.0205390931631,35.341862744512,34.2437354510359
-10.6353245545216,-9.08494293591566,-10.8005192005555,-8.8597872040472,-11.5657621649685,-10.1253536461391,-9.74828650289169,-8.90679721364612,39.8195305916306,43.8116071299242,29.7650764750724
-9.09906195773231,-9.82463715005154,-8.93655235114088,-10.5620387305515,-10.3601621149667,-10.4597525271126,-9.79579394563986,-9.04029304044694,33.7916829402151,42.4920923411788,35.7268284403312
-8.94572592160199,-9.95635401388165,-9.04488280687388,-8.43701277750311,-11.0829360914547,-11.2362236849898,-10.3632498361995,-11.3955431137416,34.7455949704803,43.0290241470386,31.4389288594422
-10.4078999669482,-10.240751313848,-11.0171370132524,-11.0686043096855,-12.0076704335473,-12.1756263475539,-9.9178075365494,-9.30433250767179,38.8621396547765,42.1558343841985,36.1081448648474
-9.46539595807157,-11.6033846672354,-9.391324053769,-9.34798463020148,-8.66079054379743,-11.9895006301925,-8.64567470118916,-10.5570312705985,31.6182403054205,20.7484425385483,43.9214035064913
-11.1443613849478,-10.1604830585187,-8.6848140912177,-10.3707282883562,-8.94926855647704,-9.9008492517327,-8.76931914510578,-10.6532039653608,44.2885198430624,24.8537810504087,24.9132276670018
-9.06230042258976,-8.15207887710584,-11.2935167111708,-9.53515292965388,-10.9491210527997,-11.4973667712896,-7.71720252916776,-7.97943628793769,40.2553614736651,24.5384414449974,44.8076121719205
-7.94110389635665,-10.326539898044,-10.5831292514238,-10.7285597412577,-11.06572154191,-8.4345068483185,-10.2035207257802,-10.4948534256527,24.8140411715023,21.4899960350012,35.1221497218765
-10.9427640439165,-10.015456414443,-10.095165893055,-10.4591753762253,-11.3713589214836,-8.4088472052929,-8.00259420150099,-12.007383901557,22.1974371666438,41.7297025040549,28.6250179288618
-7.59324999900954,-10.8000232914654,-9.52861860316852,-10.7591562634925,-12.5683197549647,-12.1203239509319,-8.45321095511876,-9.41675439504301,28.3917145206593,51.2389225511521,41.6692852179869
-11.7293688269509,-9.40489093166916,-10.3767863271697,-8.95996561344387,-9.16236755611096,-10.6269122835393,-12.7526942745461,-11.6668907620697,31.4732804484491,44.5411458029179,27.3326731332054
-10.4871276316373,-7.97230729145091,-10.7184529511267,-7.84170869486826,-10.0994442428416,-10.8436975679756,-7.02518782182177,-10.9200986105287,50.5889731969451,45.4316484351468,28.8343446439889
-7.90964904981339,-9.92558420830825,-9.29843692381354,-10.1366318352162,-8.31279253595695,-10.866577417817,-12.3284890125981,-10.0358779457854,40.1025188150117,35.5215156403254,47.0207794132701
-11.1819708894864,-12.6703132370915,-11.0920530816666,-9.0304583747983,-9.02363952246774,-12.0447701461837,-6.70323668368347,-9.07706894283462,36.4131023154769,37.9023060222273,28.3067042675684
-10.3540026730355,-8.96233078562841,-7.77290679215454,-9.80765245476226,-11.8939984939792,-13.1859666449814,-9.82696444475371,-9.32241643792577,46.2239816261921,45.5981655978947,25.5373849570344
