"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
-10.8642410427806,-3.14099189302074,-6.1572979883966,-7.83787930543339,-12.4970480014287,-13.3716623263287,-9.12192624330572,-3.68078999290043,45.251972299068,73.545508898471,28.402464610613,69.812070448923
-16.9382162771118,-16.4159641012342,-4.10498745017531,-12.6538472014985,-12.4129879886614,-11.7772666521503,-3.9775653904127,-7.48512117243209,64.2000965905271,10.0362448679027,42.7534317519539,39.1234230726748
-10.248840827964,-14.8908516354055,-7.05813797727115,-4.21589223226854,-5.99913327455083,-10.4512579814115,-8.86683003563303,-9.27295743271862,4.11119940294768,69.8057700577076,32.5324018772162,15.2578348449123
-12.5968251602245,-7.66215242289612,-7.30509112838693,-16.2586535527483,-7.86882820144677,-11.8821319903481,-13.7096226879675,-12.0916272564412,32.1328855127766,74.9284846789611,10.517415664302,37.6399272220308
-16.0258836426402,-5.09268716406138,-4.61166132234884,-12.1552945013354,-9.21127323193159,-6.58501563838511,-4.08590470343912,-9.78906068570954,42.4737981575896,4.58274492391502,16.1094020783901,17.4769249159325
-10.7664055905155,-16.1148998828531,-16.9179630064043,-6.87556367141996,-4.68594126998498,-5.26301955716787,-15.1242363699778,-7.26167305082181,46.8694218377973,32.4014808717929,64.4522982631082,20.785124268622
-12.9770928779368,-13.1410579897893,-3.99553068843828,-9.43698114521597,-6.23543981304062,-4.96927024554848,-6.85068296457543,-16.1880449740031,26.3272043060535,8.03240811098192,30.1603458557976,67.5459212983819
-4.47884795354907,-12.1647885998051,-15.6585626963755,-14.4075846753108,-13.6585422184695,-10.7202987816706,-13.9645657993526,-13.6956972912926,57.6523373131687,50.4297155042313,49.7770990506856,17.0999180131877
-11.7563866353189,-13.4874193247761,-12.0377655848606,-3.53892996486602,-6.86733403892159,-6.2313122848718,-3.64311031781146,-4.55644689528518,68.0244225296698,25.1161511693284,35.1783790517296,61.7950718015403
-3.8277165950621,-13.8239809458693,-12.7934513188021,-7.64565469788904,-6.11597691400028,-4.73399754469772,-8.9516101078473,-6.44279795807726,62.5630440739682,3.33047869742441,62.8619016333518,42.497304523252
-4.5389498882622,-5.44333193934225,-8.93787019672417,-3.92275718659195,-16.0153039601678,-9.70811162706441,-16.3986522345139,-9.29206059304709,16.5339656765177,29.0545295417018,52.7542323296168,7.4700519300095
-4.20128127213977,-10.4231968536349,-8.60682734656683,-12.2834897414128,-7.99254341057539,-10.9176710692605,-13.8978604049491,-7.13401882737191,21.9615268523991,18.3014080019924,28.5605236565805,58.4258852998784
-3.97717757841335,-3.21217667707172,-15.712600304632,-6.06391721879956,-7.80048568176837,-3.58152053005183,-14.5383887158519,-9.82428992435406,15.0472684206191,4.76002002405818,33.7357330579794,73.1258776799653
-16.9486544122918,-14.9989619833146,-5.13145442735008,-15.6770479771586,-5.94773968333867,-8.45465124937091,-3.14059484107946,-16.3645424452591,33.4257300654764,55.5554183723778,0.471686488092528,25.4593186580425
-10.0680626894947,-15.3050101726062,-8.12723148130788,-3.57266213851287,-10.2816847113768,-4.89988134054895,-15.1018572473989,-7.72572659415593,18.4339720930177,46.3976229794469,15.9055595858465,12.524665476699
-16.3369731811589,-3.63889099009517,-9.90658396198209,-5.28284350553295,-7.22855681871409,-4.7671250091793,-10.2016422886692,-8.46058178888732,23.5745674829587,46.1327641903603,36.8558449264162,73.6850356453448
-12.4067852500077,-5.76694791537677,-7.83313886468387,-11.4341992480809,-7.95312413989399,-10.2344852426597,-8.48874256796269,-12.7971533432881,55.8487317214668,21.5301138727163,61.0333950738574,26.1497370369587
-4.87552173242462,-5.68317271563578,-4.9795669170049,-11.1010044621222,-15.9223079557032,-15.0889705096718,-14.6761922904429,-10.7656553757572,41.3872357173613,2.21343160569726,6.12237576677289,46.8514186176594
-4.75111867209501,-10.8790749741201,-7.82448928488321,-11.4254191244437,-16.1956073911936,-14.1061962289805,-7.79857529861666,-13.8836756203163,43.4152902276814,50.0813221833104,51.1384909081628,12.2369756715914
-4.10989369389233,-11.5303089500741,-9.33157669715169,-8.29445410332531,-10.7342132848998,-14.7733925005395,-10.6140472664404,-6.76923146056589,33.1530469437823,7.52848725945165,53.7764186370384,67.3885946597555
-13.3368987843051,-4.61161054650699,-14.8201864020449,-4.41326858399254,-11.3839262818079,-5.34204645963982,-6.22305476392182,-7.1132882183766,54.0042649140721,30.1928531553433,40.5693373987213,47.6431635940791
-11.5115691699044,-16.9603495472895,-15.4382519497201,-4.49479350870051,-3.18225272597764,-13.5067396113954,-14.8213523858753,-15.3150622556249,24.8728363090474,0.216920987886842,20.6261671937961,9.52062498349173
-15.4904034746564,-13.1692946810025,-16.8639269912475,-16.7747307699887,-6.02177125894525,-4.25249040152933,-3.93209612730644,-3.07273107623002,19.4855874612095,15.7666167168104,44.9955938515125,8.16432593696227
-14.7175972065557,-14.9232125435325,-3.55056147972201,-8.38007528414312,-5.00539407841363,-15.6990335139171,-11.5004960083385,-4.63856438423674,61.1456972673093,19.7534448758519,39.1169942570105,27.6758619632001
-15.1263056402607,-13.829749043277,-12.5492293985154,-10.4112843133007,-3.43492641524416,-5.92730847251387,-11.4970773518309,-10.5021913307175,46.5883068371803,8.99291477994528,51.450088625662,2.98770385206677
-4.96214259039285,-12.6532247902555,-9.42622229583291,-14.5843662397096,-6.12523701851857,-16.7833548959061,-7.15007288616812,-11.723833563892,47.7867672511528,1.90796329679259,7.46919033827609,64.3060686492326
